Year;Region;regiao;LU;LU_br;Area;Ind
2015;South;Sul;Shrubs;Vegetação arbustiva ;302601;0.010352348
2015;South;Sul;Herbaceus Vegetation ;Vegetação herbácea;1126357;0.038534043
2015;South;Sul;Cropland;Agricultua e Pecuaria ;1401800;0.047957283
2015;South;Sul;Build;Urbano;566127;0.019367893
2015;South;Sul;Herbaceus Wet;Vegetação umida;776355;0.026560049
2015;South;Sul;Forest;Florestas;13166669;0.450447756
2015;South;Sul;water body;Superfície aquática;636211;0.021765552
2015;South;Sul;Other;Outros;308870;0.010566818
2016;South;Sul;Shrubs;Vegetação arbustiva ;300561;0.010209352
2016;South;Sul;Herbaceus Vegetation ;Vegetação herbácea;1118390;0.037989084
2016;South;Sul;Cropland;Agricultua e Pecuaria ;1402086;0.047625571
2016;South;Sul;Build;Urbano;564494;0.019174536
2016;South;Sul;Herbaceus Wet;Vegetação umida;846202;0.028743496
2016;South;Sul;Forest;Florestas;13149546;0.446659218
2016;South;Sul;water body;Superfície aquática;661011;0.022452992
2016;South;Sul;Other;Outros;59340;0.002015641
2017;South;Sul;Shrubs;Vegetação arbustiva ;300426;0.010134138
2017;South;Sul;Herbaceus Vegetation ;Vegetação herbácea;1114408;0.037591835
2017;South;Sul;Cropland;Agricultua e Pecuaria ;1404361;0.047372692
2017;South;Sul;Build;Urbano;566472;0.019108551
2017;South;Sul;Herbaceus Wet;Vegetação umida;911095;0.030733567
2017;South;Sul;Forest;Florestas;13152912;0.443681399
2017;South;Sul;water body;Superfície aquática;656865;0.022157738
2017;South;Sul;Other;Outros;56991;0.001922452
2018;South;Sul;Shrubs;Vegetação arbustiva ;301881;0.010145884
2018;South;Sul;Herbaceus Vegetation ;Vegetação herbácea;1109379;0.037284992
2018;South;Sul;Cropland;Agricultua e Pecuaria ;1407648;0.047309481
2018;South;Sul;Build;Urbano;567717;0.019080336
2018;South;Sul;Herbaceus Wet;Vegetação umida;983578;0.033056961
2018;South;Sul;Forest;Florestas;13163275;0.442403007
2018;South;Sul;water body;Superfície aquática;639035;0.021477254
2018;South;Sul;Other;Outros;324267;0.010898253
2019;South;Sul;Shrubs;Vegetação arbustiva ;299868;0.010003608
2019;South;Sul;Herbaceus Vegetation ;Vegetação herbácea;1104581;0.036848865
2019;South;Sul;Cropland;Agricultua e Pecuaria ;1405020;0.046871522
2019;South;Sul;Build;Urbano;569044;0.01898333
2019;South;Sul;Herbaceus Wet;Vegetação umida;1047189;0.034934266
2019;South;Sul;Forest;Florestas;13129106;0.43798749
2019;South;Sul;water body;Superfície aquática;636211;0.021224024
2019;South;Sul;Other;Outros;54151;0.001806479
2015;Southeast;Sudeste;Shrubs;Vegetação arbustiva ;9730272;0.113478488
2015;Southeast;Sudeste;Herbaceus Vegetation ;Vegetação herbácea;27678147;0.322794089
2015;Southeast;Sudeste;Cropland;Agricultua e Pecuaria ;10869820;0.126768372
2015;Southeast;Sudeste;Build;Urbano;1116738;0.013023864
2015;Southeast;Sudeste;Herbaceus Wet;Vegetação umida;372591;0.004345312
2015;Southeast;Sudeste;Forest;Florestas;30409831;0.354652126
2015;Southeast;Sudeste;water body;Superfície aquática;846647;0.00987395
2015;Southeast;Sudeste;Other;Outros;137564;0.001604329
2016;Southeast;Sudeste;Shrubs;Vegetação arbustiva ;9698918;0.112311954
2016;Southeast;Sudeste;Herbaceus Vegetation ;Vegetação herbácea;27553758;0.319068209
2016;Southeast;Sudeste;Cropland;Agricultua e Pecuaria ;10923349;0.126490673
2016;Southeast;Sudeste;Build;Urbano;1116849;0.012932937
2016;Southeast;Sudeste;Herbaceus Wet;Vegetação umida;433687;0.005022028
2016;Southeast;Sudeste;Forest;Florestas;30350452;0.351453488
2016;Southeast;Sudeste;water body;Superfície aquática;856592;0.009919201
2016;Southeast;Sudeste;Other;Outros;116585;0.001350036
2017;Southeast;Sudeste;Shrubs;Vegetação arbustiva ;9674528;0.111265783
2017;Southeast;Sudeste;Herbaceus Vegetation ;Vegetação herbácea;27428707;0.315454827
2017;Southeast;Sudeste;Cropland;Agricultua e Pecuaria ;11045127;0.127028905
2017;Southeast;Sudeste;Build;Urbano;1119277;0.012872693
2017;Southeast;Sudeste;Herbaceus Wet;Vegetação umida;516288;0.005937777
2017;Southeast;Sudeste;Forest;Florestas;30316144;0.348662952
2017;Southeast;Sudeste;water body;Superfície aquática;835268;0.009606334
2017;Southeast;Sudeste;Other;Outros;17391;0.000200012
2018;Southeast;Sudeste;Shrubs;Vegetação arbustiva ;9648081;0.109997343
2018;Southeast;Sudeste;Herbaceus Vegetation ;Vegetação herbácea;27307211;0.3113283
2018;Southeast;Sudeste;Cropland;Agricultua e Pecuaria ;11163635;0.127276107
2018;Southeast;Sudeste;Build;Urbano;1120974;0.012780175
2018;Southeast;Sudeste;Herbaceus Wet;Vegetação umida;596893;0.006805151
2018;Southeast;Sudeste;Forest;Florestas;30269773;0.345104337
2018;Southeast;Sudeste;water body;Superfície aquática;830502;0.009468516
2018;Southeast;Sudeste;Other;Outros;89331;0.001018459
2019;Southeast;Sudeste;Shrubs;Vegetação arbustiva ;9574677;0.108345838
2019;Southeast;Sudeste;Herbaceus Vegetation ;Vegetação herbácea;27134866;0.307054724
2019;Southeast;Sudeste;Cropland;Agricultua e Pecuaria ;11252012;0.12732635
2019;Southeast;Sudeste;Build;Urbano;1122588;0.012703064
2019;Southeast;Sudeste;Herbaceus Wet;Vegetação umida;654547;0.007406771
2019;Southeast;Sudeste;Forest;Florestas;30355070;0.343494147
2019;Southeast;Sudeste;water body;Superfície aquática;846647;0.009580551
2019;Southeast;Sudeste;Other;Outros;9723;0.000110024
2015;Midweast;Centro Oeste;Shrubs;Vegetação arbustiva ;7538743;0.488189984
2015;Midweast;Centro Oeste;Herbaceus Vegetation ;Vegetação herbácea;44384696;2.874240978
2015;Midweast;Centro Oeste;Cropland;Agricultua e Pecuaria ;16458533;1.06581309
2015;Midweast;Centro Oeste;Build;Urbano;291738;0.018892217
2015;Midweast;Centro Oeste;Herbaceus Wet;Vegetação umida;2586315;0.167483237
2015;Midweast;Centro Oeste;Forest;Florestas;65573224;4.246356615
2015;Midweast;Centro Oeste;water body;Superfície aquática;793825;0.051406105
2015;Midweast;Centro Oeste;Other;Outros;514426;0.03331293
2016;Midweast;Centro Oeste;Shrubs;Vegetação arbustiva ;7526727;0.480603586
2016;Midweast;Centro Oeste;Herbaceus Vegetation ;Vegetação herbácea;44166923;2.820187526
2016;Midweast;Centro Oeste;Cropland;Agricultua e Pecuaria ;16530151;1.055498606
2016;Midweast;Centro Oeste;Build;Urbano;292370;0.018668682
2016;Midweast;Centro Oeste;Herbaceus Wet;Vegetação umida;2830398;0.180729211
2016;Midweast;Centro Oeste;Forest;Florestas;65451983;4.179301012
2016;Midweast;Centro Oeste;water body;Superfície aquática;775397;0.049511372
2016;Midweast;Centro Oeste;Other;Outros;13951;0.000890812
2017;Midweast;Centro Oeste;Shrubs;Vegetação arbustiva ;7481868;0.471271846
2017;Midweast;Centro Oeste;Herbaceus Vegetation ;Vegetação herbácea;43867087;2.763123203
2017;Midweast;Centro Oeste;Cropland;Agricultua e Pecuaria ;16669123;1.049963508
2017;Midweast;Centro Oeste;Build;Urbano;293165;0.018466032
2017;Midweast;Centro Oeste;Herbaceus Wet;Vegetação umida;3196180;0.201322671
2017;Midweast;Centro Oeste;Forest;Florestas;65274762;4.111561122
2017;Midweast;Centro Oeste;water body;Superfície aquática;776734;0.048925331
2017;Midweast;Centro Oeste;Other;Outros;25881;0.001630206
